program,fault
"#include <iostream>
#include <vector>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5};
  int sum = 0;
  for (size_t i = 0; i <= data.size(); ++i) {
    sum += data[i];
  }
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",i <= data.size()
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
  std::string input = ""hello"";
  std::string reversed_input = input;
  std::reverse(reversed_input.begin(), reversed_input.end());
  
  if (input == reversed_input) {
    std::cout << ""Palindrome!"" << std::endl;
  } else {
    std::cout << ""Not a palindrome."" << std::endl;
  }
  
  return 0;
}",if (input == reversed_input)
"#include <iostream>
#include <vector>
#include <numeric>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5};
  int target = 10;

  auto it = std::find_if(numbers.begin(), numbers.end(), [target](int n) {
    return target % n == 0;
  });

  if (it != numbers.end()) {
    std::cout << ""Found a divisor: "" << *it << std::endl;
  } else {
    std::cout << ""No divisor found."" << std::endl;
  }

  return 0;
}",target % n == 0
"#include <iostream>
#include <string>
#include <map>

int main() {
  std::map<std::string, int> word_counts;
  std::string text = ""the quick brown fox jumps over the lazy dog"";
  std::string word;
  
  for (char c : text) {
    if (std::isspace(c)) {
      if (!word.empty()) {
        word_counts[word]++;
        word = """";
      }
    } else {
      word += c;
    }
  }

  if (!word.empty()) {
    word_counts[word]++;
  }

  for (auto const& [key, val] : word_counts) {
    std::cout << key << "": "" << val << std::endl;
  }

  return 0;
}",if (!word.empty()) { word_counts[word]++; }
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
  std::vector<int> values = {5, 2, 8, 1, 9, 4};
  std::vector<int> sorted_values = values;
  std::sort(sorted_values.begin(), sorted_values.end());

  auto it = std::find(sorted_values.begin(), sorted_values.end(), 8);

  if (it != sorted_values.end()) {
    size_t index = std::distance(sorted_values.begin(), it);
    std::cout << ""Index of 8 in sorted vector: "" << index << std::endl;
  }

  return 0;
}","size_t index = std::distance(sorted_values.begin(), it);"
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    std::vector<int> filtered_data;

    std::copy_if(data.begin(), data.end(), std::back_inserter(filtered_data), [](int x) { return x % 2 == 0; });

    for (size_t i = 0; i <= filtered_data.size(); ++i) {
        std::cout << filtered_data[i] << std::endl; // Potential out-of-bounds access
    }

    return 0;
}",filtered_data[i]
"#include <iostream>
#include <string>
#include <vector>

class DataProcessor {
public:
    DataProcessor(const std::vector<std::string>& input) : data_(input) {}

    void processData() {
        for (size_t i = 0; i < data_.size(); ++i) {
            std::string modified_string = modifyString(data_[i]);
            data_[i] = modified_string;
        }
    }

private:
    std::string modifyString(const std::string& str) {
        std::string result = str;
        for (char& c : result) {
            c = std::toupper(c); // Assuming ASCII characters
        }
        return result;
    }

    std::vector<std::string> data_; // Stores the strings
};

int main() {
    std::vector<std::string> my_data = {""hello"", ""world"", ""cpp""};
    DataProcessor processor(my_data);
    processor.processData();

    for (const std::string& s : my_data) {
        std::cout << s << std::endl;
    }

    return 0;
}",c = std::toupper(c);
"#include <iostream>
#include <vector>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5};
  size_t index = 0;

  while (index < data.size()) {
    if (data[index] % 2 == 0) {
      data.erase(data.begin() + index);
      index++; // This increment is the fault
    }
    index++;
  }

  for (int val : data) {
    std::cout << val << "" "";
  }
  std::cout << std::endl;

  return 0;
}",index++; // This increment is the fault
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
  std::string input = ""hello world"";
  std::string reversed_input;

  std::reverse_copy(input.begin(), input.end(), std::back_inserter(reversed_input));

  std::string combined_string = reversed_input + "" "" + input;

  std::cout << combined_string << std::endl;

  // Attempt to find the first occurrence of ""world"" in the combined string
  size_t position = combined_string.find(""world"");

  // If found, attempt to insert ""!"" at the found position.  This is the faulty line.
  if (position != std::string::npos) {
    combined_string.insert(position, ""!"");
  }

  std::cout << combined_string << std::endl;

  return 0;
}","combined_string.insert(position, ""!"");"
"#include <iostream>
#include <vector>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    int index = 0;
    while (index < data.size()) {
        std::cout << data[index] << std::endl;
        index++;
        if (index == data.size()) {
            data.push_back(data[0]);
        }
    }
    return 0;
}",data.push_back(data[0]);
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string input = ""hello"";
    std::string reversed_input = input;
    std::reverse(reversed_input.begin(), reversed_input.end());

    if (input == reversed_input) {
        std::cout << ""Palindrome!"" << std::endl;
    } else {
        std::cout << ""Not a palindrome."" << std::endl;
    }

    input = ""racecar"";
    reversed_input = input;
    std::reverse(reversed_input.begin(), reversed_input.end());

    if (input != reversed_input) {
        std::cout << ""Palindrome!"" << std::endl;
    } else {
        std::cout << ""Not a palindrome."" << std::endl;
    }

    return 0;
}",if (input != reversed_input)
"#include <iostream>
#include <vector>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
